"name","icao","iata","coordinates","cityName","countryName","airport"
"Muan International Airport","RKJB","MWX","34.991406 126.382814","Mokpo","South Korea","http://fr.dbpedia.org/resource/Aéroport_international_de_Muan"
"Christmas Island Airport","YPXM","XCH","-10.450556 105.690278",,"Kiritimati","http://fr.dbpedia.org/resource/Aéroport_de_l'île_Christmas"
"Norfolk Island Airport","YSNF","NLK","-29.041667 167.938889","Kingston, Norfolk Island",,"http://fr.dbpedia.org/resource/Aéroport_international_de_l'île_Norfolk"
"Norfolk Island Airport","YSNF","NLK","-29.041667 167.938889","Burnt Pine",,"http://fr.dbpedia.org/resource/Aéroport_international_de_l'île_Norfolk"
"Krabi Airport","VTSG","KBV","8.100833 98.984722","Krabi","Thailand","http://fr.dbpedia.org/resource/Aéroport_de_Krabi"
"Saint-Pierre Airport","LFVP","FSP","46.763056 -56.174167","Saint-Pierre, Saint Pierre and Miquelon",,"http://fr.dbpedia.org/resource/Aéroport_de_Saint-Pierre_Pointe-Blanche"
"Miquelon Airport","LFVM","MQC","47.095833 -56.384444","Miquelon-Langlade",,"http://fr.dbpedia.org/resource/Aérodrome_de_Miquelon"
"Illizi Airport","DAAP","VVZ","26.723611111111108 8.617777777777778","Illizi","Algeria","http://fr.dbpedia.org/resource/Aéroport_d'Illizi_-_Takhamalt"
"Debrecen International Airport","LHDC","DEB","47.488889 21.615278","Debrecen","Hungary","http://fr.dbpedia.org/resource/Aéroport_international_de_Debrecen"
"Omsk Tsentralny Airport","UNOO","OMS","54.966667 73.316667","Omsk","Russia","http://fr.dbpedia.org/resource/Aéroport_d'Omsk"
"El Edén International Airport","SKAR","AXM","4.4525 -75.766389","Armenia, Quindío",,"http://fr.dbpedia.org/resource/Aéroport_international_El_Edén"
"Ernesto Cortissoz International Airport","SKBQ","BAQ","10.889444 -74.780556","Barranquilla",,"http://fr.dbpedia.org/resource/Aéroport_international_Ernesto_Cortissoz"
,"SKBG","BGA","7.126389 -73.184722","Bucaramanga",,"http://fr.dbpedia.org/resource/Aéroport_international_Palonegro"
"Alfonso Bonilla Aragón International Airport","SKCL","CLO","3.543056 -76.381389","Cali","Colombia","http://fr.dbpedia.org/resource/Aéroport_international_Alfonso_Bonilla_Aragón"
"Rafael Núñez International Airport","SKCG","CTG","10.4425 -75.513056","Cartagena, Colombia",,"http://fr.dbpedia.org/resource/Aéroport_international_Rafael_Núñez"
"Camilo Daza International Airport","SKCC","CUC","7.9275 -72.511667","Cúcuta","Colombia","http://fr.dbpedia.org/resource/Aéroport_international_Camilo_Daza"
"Alfredo Vásquez Cobo International Airport","SKLT","LET","-4.193333 -69.943056","Leticia, Amazonas","Colombia","http://fr.dbpedia.org/resource/Aéroport_international_Alfredo_Vásquez_Cobo"
"José María Córdova International Airport","SKRG","MDE","6.167222 -75.426667","Medellín","Colombia","http://fr.dbpedia.org/resource/Aéroport_international_José_María_Córdova"
"Matecaña International Airport","SKPE","PEI","4.8125 -75.739444","Pereira, Colombia","Colombia","http://fr.dbpedia.org/resource/Aéroport_international_Matecaña"
